user_id,display_name,email,tenant_role,department,location,license_type,is_service_principal,mfa_enabled,account_created_date,last_active_datetime,reports_accessed_30d,dashboards_accessed_30d,reports_created_30d,datasets_owned,workspaces_count,total_views_30d,is_guest_user,user_state
USR-001,John Smith,john.smith@michiganauto.com,Admin,Finance,Detroit Plant,Pro,False,True,2024-08-06,2026-04-28 04:54:34,13,4,5,0,1,343,False,Active
USR-002,Sarah Johnson,ops.lead@michiganauto.com,Admin,Operations,Detroit Plant,Premium,False,True,2024-01-24,2026-05-08 16:50:34,5,0,1,4,4,17,False,Active
USR-003,Mike Chen,maint.mgr@michiganauto.com,Admin,Maintenance,Detroit Plant,Pro,False,True,2025-06-30,2026-04-30 20:10:34,11,6,4,0,5,78,False,Active
USR-004,Priya Patel,ds.lead@michiganauto.com,Admin,Data Science,HQ,Premium,False,True,2023-12-12,2026-05-14 01:45:34,2,2,4,2,4,160,False,Active
USR-005,David Williams,finance@michiganauto.com,Admin,Finance,HQ,Pro,False,True,2024-01-11,2026-04-25 13:32:34,5,7,4,3,5,60,False,Active
USR-006,Emma Davis,exec.admin@michiganauto.com,Admin,Executive,HQ,Premium,False,True,2025-02-11,2026-05-11 09:54:34,9,7,1,0,2,436,False,Active
USR-007,Alex Turner,analyst1@michiganauto.com,Member,Operations,Flint Plant,Pro,False,True,2025-08-23,2026-04-26 18:05:34,2,5,5,2,1,281,False,Active
USR-008,Lisa Wang,analyst2@michiganauto.com,Member,Quality,Flint Plant,Pro,False,True,2024-04-30,2026-05-16 10:48:34,20,2,2,4,2,62,False,Active
USR-009,Tom Harris,hse.mgr@michiganauto.com,Member,HSE,Detroit Plant,Pro,False,True,2025-04-15,2026-04-30 01:32:34,11,8,4,2,4,411,False,Active
USR-010,Karen White,kwhite@michiganauto.com,Viewer,Finance,Detroit Plant,Pro,False,True,2024-04-21,2026-04-27 14:29:34,9,6,5,3,5,210,False,Active
USR-011,James Brown,jbrown@michiganauto.com,Viewer,Operations,Flint Plant,Free,False,False,2023-09-11,2026-05-07 14:25:34,10,1,3,3,5,176,False,Active
USR-012,Patricia Lee,plee@michiganauto.com,Viewer,Executive,HQ,Pro,False,True,2025-06-27,2026-05-07 10:44:34,4,6,4,0,1,265,False,Active
USR-013,Dev Team,dev.team@michiganauto.com,Admin,IT,HQ,Premium,False,True,2025-06-03,2026-05-20 05:34:34,7,5,4,2,1,128,False,Active
USR-014,Robert Clark,rclark@michiganauto.com,Viewer,Production,Detroit Plant,Pro,False,True,2025-04-18,2026-05-17 11:53:34,9,8,0,4,2,303,False,Active
USR-015,Nancy Adams,nadams@michiganauto.com,Viewer,Production,Flint Plant,Pro,False,True,2024-03-22,2026-05-03 20:47:34,19,5,4,0,1,41,False,Active
USR-016,Paul Martinez,pmartinez@michiganauto.com,Contributor,Finance,HQ,Pro,False,True,2025-09-20,2026-05-07 07:52:34,6,6,4,0,4,455,False,Active
USR-017,Sandra Wilson,swilson@michiganauto.com,Viewer,Maintenance,Detroit Plant,Free,False,False,2024-02-02,2026-05-05 07:03:34,7,6,2,3,1,352,False,Active
USR-018,Mark Thompson,mthompson@michiganauto.com,Viewer,Executive,HQ,Premium,False,True,2025-09-06,2026-05-12 01:04:34,6,5,4,1,3,441,False,Active
USR-019,Linda Garcia,lgarcia@michiganauto.com,Contributor,Operations,Flint Plant,Pro,False,True,2023-11-02,2026-04-28 05:08:34,4,5,4,4,1,163,False,Active
USR-020,Steven Moore,smoore@michiganauto.com,Admin,IT,HQ,Premium,False,True,2025-03-04,2026-05-17 02:18:34,4,1,0,2,4,442,False,Active
USR-021,Carol Taylor,ctaylor@michiganauto.com,Viewer,HR,HQ,Pro,False,True,2024-02-15,2026-04-25 10:41:34,10,5,1,1,4,263,False,Active
USR-022,Donald Anderson,danderson@michiganauto.com,Viewer,Supply Chain,Detroit Plant,Pro,False,False,2024-07-16,2026-05-16 01:32:34,2,6,4,3,2,110,False,Active
USR-023,Betty Jackson,bjackson@michiganauto.com,Contributor,Quality,Flint Plant,Pro,False,True,2024-03-19,2026-05-24 07:02:34,19,7,2,4,1,433,False,Active
USR-024,George Thomas,gthomas@michiganauto.com,Viewer,Production,Detroit Plant,Free,False,False,2025-07-19,2026-04-27 07:47:34,11,6,2,0,4,26,False,Active
USR-025,Dorothy Robinson,drobinson@michiganauto.com,Viewer,Finance,HQ,Pro,False,True,2024-04-01,2026-05-13 23:15:34,2,6,4,3,5,143,False,Active
SVC-001,svc-pbi-refresh,svc-pbi-refresh@michiganauto.com,Member,IT,HQ,Premium,True,False,2025-12-16,2026-05-24 04:43:34,0,0,0,0,5,0,False,Active
SVC-002,svc-pbi-embed,svc-pbi-embed@michiganauto.com,Member,IT,HQ,Premium,True,False,2025-05-05,2026-05-25 09:55:34,0,0,0,0,7,0,False,Active
SVC-003,svc-fabric-pipeline,svc-fabric-pipeline@michiganauto.com,Member,IT,HQ,Premium,True,False,2025-07-24,2026-05-25 15:25:34,0,0,0,0,8,0,False,Active
