permission_id,user_id,user_email,workspace_id,workspace_name,permission_level,granted_by,granted_date,is_active
PERM-0001,USR-001,john.smith@michiganauto.com,WS-013,Michigan Auto - Supply Chain,Contributor,finance@michiganauto.com,2025-02-12,True
PERM-0002,USR-001,john.smith@michiganauto.com,WS-008,Michigan Auto - Dev,Contributor,finance@michiganauto.com,2025-12-03,True
PERM-0003,USR-001,john.smith@michiganauto.com,WS-009,Michigan Auto - UAT,Viewer,exec.admin@michiganauto.com,2025-03-10,True
PERM-0004,USR-002,ops.lead@michiganauto.com,WS-009,Michigan Auto - UAT,Viewer,exec.admin@michiganauto.com,2025-07-31,True
PERM-0005,USR-002,ops.lead@michiganauto.com,WS-014,Michigan Auto - HR Analytics,Viewer,maint.mgr@michiganauto.com,2025-11-26,True
PERM-0006,USR-002,ops.lead@michiganauto.com,WS-015,Michigan Auto - Archive,Viewer,finance@michiganauto.com,2025-12-08,True
PERM-0007,USR-003,maint.mgr@michiganauto.com,WS-010,My Workspace - J.Smith,Contributor,exec.admin@michiganauto.com,2025-04-09,True
PERM-0008,USR-004,ds.lead@michiganauto.com,WS-012,My Workspace - Analyst2,Viewer,ops.lead@michiganauto.com,2025-08-19,True
PERM-0009,USR-004,ds.lead@michiganauto.com,WS-001,Michigan Auto - Production,Viewer,ds.lead@michiganauto.com,2026-02-28,True
PERM-0010,USR-005,finance@michiganauto.com,WS-010,My Workspace - J.Smith,Viewer,john.smith@michiganauto.com,2026-02-07,True
PERM-0011,USR-006,exec.admin@michiganauto.com,WS-007,Michigan Auto - Executive,Viewer,ds.lead@michiganauto.com,2025-08-31,True
PERM-0012,USR-006,exec.admin@michiganauto.com,WS-003,Michigan Auto - 8:15 KPIs,Contributor,exec.admin@michiganauto.com,2025-05-08,True
PERM-0013,USR-006,exec.admin@michiganauto.com,WS-015,Michigan Auto - Archive,Member,ops.lead@michiganauto.com,2025-08-01,True
PERM-0014,USR-007,analyst1@michiganauto.com,WS-009,Michigan Auto - UAT,Contributor,finance@michiganauto.com,2025-11-20,True
PERM-0015,USR-007,analyst1@michiganauto.com,WS-007,Michigan Auto - Executive,Viewer,exec.admin@michiganauto.com,2025-05-31,True
PERM-0016,USR-007,analyst1@michiganauto.com,WS-006,Michigan Auto - Finance,Viewer,finance@michiganauto.com,2025-09-10,True
PERM-0017,USR-007,analyst1@michiganauto.com,WS-003,Michigan Auto - 8:15 KPIs,Member,maint.mgr@michiganauto.com,2026-01-20,True
PERM-0018,USR-008,analyst2@michiganauto.com,WS-012,My Workspace - Analyst2,Viewer,maint.mgr@michiganauto.com,2025-09-12,True
PERM-0019,USR-008,analyst2@michiganauto.com,WS-004,Michigan Auto - Maintenance,Viewer,exec.admin@michiganauto.com,2025-12-26,True
PERM-0020,USR-008,analyst2@michiganauto.com,WS-015,Michigan Auto - Archive,Viewer,finance@michiganauto.com,2025-11-02,True
PERM-0021,USR-009,hse.mgr@michiganauto.com,WS-013,Michigan Auto - Supply Chain,Member,maint.mgr@michiganauto.com,2025-01-10,True
PERM-0022,USR-009,hse.mgr@michiganauto.com,WS-015,Michigan Auto - Archive,Contributor,ds.lead@michiganauto.com,2025-06-14,True
